Taxonomy Path	Value1 (Category)	Value3 (Group)	Value4 (Spec)
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	General	Color
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	General	Shoe Mount
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	General	Tripod Mounting Thread
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	General	Operating Conditions
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	General	Image Processor
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Imaging	Lens Mount
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Imaging	Sensor Resolution
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Imaging	Image Sensor
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Imaging	Image Stabilization
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Imaging	Built-In ND Filter
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Imaging	Capture Type
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Exposure Control	Shutter Type
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Exposure Control	Shutter Speed
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Exposure Control	Bulb/Time Mode
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Exposure Control	ISO/Gain Sensitivity
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Exposure Control	Metering Method
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Exposure Control	Exposure Modes
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Exposure Control	Exposure Compensation
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Exposure Control	White Balance
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Exposure Control	Continuous Shooting
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Exposure Control	Interval Recording
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Exposure Control	Self-Timer
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Still Image Capture	Aspect Ratio
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Still Image Capture	Image File Format
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Still Image Capture	Bit Depth
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Video Capture	Internal Recording Modes
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Video Capture	External Recording Modes
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Video Capture	Fast-/Slow-Motion Support
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Video Capture	Recording Limit
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Video Capture	IP Streaming
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Video Capture	Built-In Microphone
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Video Capture	Audio Recording
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Interface	Media/Memory Card Slot
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Interface	Video I/O
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Interface	Audio I/O
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Interface	Power I/O
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Interface	Other I/O
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Interface	Wireless
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Interface	Mobile App Compatible
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Interface	Location Tracking
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Monitor	Display Size
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Monitor	Resolution
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Monitor	Display Type
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Viewfinder	Type
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Viewfinder	Size
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Viewfinder	Resolution
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Viewfinder	Eye Point
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Viewfinder	Coverage
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Viewfinder	Magnification
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Viewfinder	Diopter Adjustment
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Focus	Built-In Flash/Light
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Focus	Flash Modes
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Focus	Guide Number
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Focus	Maximum Sync Speed
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Focus	Dedicated Flash System
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Focus	External Flash Connection
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Battery	Battery Info
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Battery	Battery Material
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Battery	Battery Type
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Battery	Battery Quantity
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Physical Details	Dimensions
Photography>>Cameras>>Mirrorless Cameras	Mirrorless Cameras	Physical Details	Weight
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	General	Color
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	General	Load Capacity
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	General	Maximum Working Height
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	General	Center Column
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	General	Max Height without Center Column
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	General	Minimum Working Height
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	General	Closed Length
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	General	Accessory Mounting
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	General	Bubble Level
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	General	Detachable Monopod
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	Legs	Head Mount Type
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	Legs	Primary Material
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	Legs	Leg Lock
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	Legs	Leg Sections
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	Legs	Independent Leg Spread
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	Legs	Leg Positions
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	Pan & Tilt	Drag Control
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	Pan & Tilt	Independent Pan Lock
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	Pan & Tilt	Independent Tilt Lock
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	Pan & Tilt	Vertical Tilt
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	Pan & Tilt	Lateral Tilt
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	Head	Camera Mounting
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	Head	Head Type
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	Head	Base Mount
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	Physical Details	Weight
Photography>>Tripods & Supports>>Tripods>>Photo Tripods	Photo Tripods	Physical Details	Dimensions
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Lens Mount
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Lens Format
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Zoom Focal Length
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Fixed Focal Length
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Focus Type
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Aperture
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Lens Type
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Kit Style
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Compatibility
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Lens Series
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Special Features
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Filter Size
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Focus Distance
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Filter Diameter
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Image Stabilization
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Angle of View
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Accepts Teleconverters
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Internal Zoom
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	General	Requires Rear Filters
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	Physical Details	Weight
Photography>>Lenses>>Mirrorless Lenses	Mirrorless Lenses	Physical Details	Dimensions
DIAGTEST>>DiagnosticCategory	Diag	DiagSpec
